1: 406 | 406 (437 s)
2: 398 | 398 (443 s)
3: 398 | 398 (449 s)
4: 398 | 398 (437 s)
5: 398 | 398 (472 s)
6: 398 | 398 (456 s)
7: 398 | 398 (464 s)
8: 397 | 397 (429 s)
9: 397 | 397 (479 s)
10: 397 | 397 (471 s)
11: 392 | 392 (442 s)
12: 392 | 392 (463 s)
13: 392 | 392 (445 s)
14: 392 | 392 (451 s)
15: 392 | 392 (443 s)
16: 392 | 392 (429 s)
17: 392 | 392 (441 s)
18: 392 | 392 (437 s)
19: 392 | 392 (459 s)
20: 392 | 392 (487 s)
21: 392 | 392 (458 s)
22: 392 | 392 (462 s)
23: 390 | 390 (437 s)
24: 390 | 390 (471 s)
25: 390 | 390 (463 s)
26: 390 | 390 (507 s)
27: 390 | 390 (470 s)
28: 390 | 390 (462 s)
29: 390 | 390 (443 s)
30: 390 | 390 (488 s)
31: 390 | 390 (460 s)
32: 390 | 390 (438 s)
33: 388 | 388 (454 s)
34: 388 | 388 (471 s)
35: 388 | 388 (453 s)
36: 388 | 388 (480 s)
37: 388 | 388 (460 s)
38: 388 | 388 (464 s)
39: 388 | 388 (448 s)
40: 388 | 388 (443 s)
41: 388 | 388 (467 s)
42: 388 | 388 (478 s)
43: 388 | 388 (454 s)
44: 388 | 388 (469 s)
45: 388 | 388 (428 s)
46: 388 | 388 (441 s)
47: 388 | 388 (462 s)
48: 388 | 388 (431 s)
49: 388 | 388 (468 s)
50: 388 | 388 (436 s)
51: 388 | 388 (462 s)
52: 388 | 388 (441 s)
53: 388 | 388 (449 s)
54: 388 | 388 (445 s)
55: 388 | 388 (450 s)
56: 388 | 388 (439 s)
57: 388 | 388 (430 s)
58: 385 | 385 (449 s)
59: 385 | 385 (459 s)
60: 385 | 385 (432 s)
61: 385 | 385 (469 s)
62: 385 | 385 (470 s)
63: 385 | 385 (455 s)
64: 385 | 385 (459 s)
65: 385 | 385 (453 s)
66: 377 | 377 (472 s)
67: 377 | 377 (431 s)
68: 377 | 377 (448 s)
69: 377 | 377 (445 s)
70: 377 | 377 (429 s)
71: 377 | 377 (451 s)
72: 377 | 377 (448 s)
73: 377 | 377 (459 s)
74: 377 | 377 (465 s)
75: 377 | 377 (446 s)
76: 377 | 377 (461 s)
77: 377 | 377 (434 s)
78: 377 | 377 (460 s)
79: 377 | 377 (456 s)
80: 377 | 377 (429 s)
81: 377 | 377 (449 s)
82: 377 | 377 (438 s)
83: 377 | 377 (462 s)
84: 377 | 377 (428 s)
85: 377 | 377 (484 s)
86: 377 | 377 (473 s)
87: 377 | 377 (465 s)
88: 377 | 377 (447 s)
89: 377 | 377 (436 s)
90: 377 | 377 (465 s)
91: 377 | 377 (429 s)
92: 377 | 377 (440 s)
93: 377 | 377 (473 s)
94: 377 | 377 (487 s)
95: 377 | 377 (489 s)
96: 377 | 377 (465 s)
97: 377 | 377 (439 s)
98: 377 | 377 (464 s)
99: 377 | 377 (450 s)
100: 377 | 377 (443 s)
101: 377 | 377 (462 s)
102: 377 | 377 (428 s)
103: 377 | 377 (433 s)
104: 377 | 377 (438 s)
105: 377 | 377 (448 s)
106: 377 | 377 (449 s)
107: 377 | 377 (438 s)
108: 377 | 377 (469 s)
109: 377 | 377 (485 s)
110: 377 | 377 (446 s)
111: 377 | 377 (457 s)
112: 377 | 377 (446 s)
113: 377 | 377 (491 s)
114: 377 | 377 (441 s)
115: 377 | 377 (455 s)
116: 377 | 377 (456 s)
117: 377 | 377 (444 s)
118: 377 | 377 (483 s)
119: 377 | 377 (420 s)
120: 377 | 377 (437 s)
121: 377 | 377 (454 s)
122: 377 | 377 (434 s)
123: 377 | 377 (467 s)
124: 377 | 377 (437 s)
125: 377 | 377 (439 s)
126: 377 | 377 (431 s)
127: 377 | 377 (457 s)
128: 377 | 377 (474 s)
129: 377 | 377 (455 s)
130: 377 | 377 (472 s)
131: 377 | 377 (448 s)
132: 377 | 377 (459 s)
133: 377 | 377 (464 s)
134: 377 | 377 (470 s)
135: 377 | 377 (484 s)
136: 377 | 377 (465 s)
137: 377 | 377 (477 s)
138: 377 | 377 (460 s)
139: 377 | 377 (461 s)
140: 377 | 377 (484 s)
141: 377 | 377 (443 s)
142: 377 | 377 (419 s)
143: 374 | 374 (453 s)
144: 374 | 374 (486 s)
145: 374 | 374 (520 s)
146: 374 | 374 (494 s)
147: 374 | 374 (535 s)
148: 374 | 374 (495 s)
149: 374 | 374 (528 s)
150: 374 | 374 (533 s)
151: 373 | 373 (535 s)
152: 373 | 373 (522 s)
153: 373 | 373 (526 s)
154: 373 | 373 (544 s)
155: 373 | 373 (492 s)
156: 373 | 373 (504 s)
