1: 72 | 72 (107 s)
2: 52 | 52 (88 s)
3: 47 | 47 (84 s)
4: 56 | 47 (83 s)
5: 51 | 47 (77 s)
6: 49 | 47 (90 s)
7: 54 | 47 (102 s)
8: 44 | 44 (91 s)
9: 52 | 44 (91 s)
10: 50 | 44 (92 s)
11: 46 | 44 (100 s)
12: 56 | 44 (104 s)
13: 44 | 44 (89 s)
14: 36 | 36 (90 s)
15: 51 | 36 (88 s)
16: 46 | 36 (97 s)
17: 42 | 36 (90 s)
18: 48 | 36 (94 s)
19: 49 | 36 (89 s)
20: 51 | 36 (96 s)
21: 45 | 36 (93 s)
22: 51 | 36 (97 s)
23: 50 | 36 (87 s)
24: 44 | 36 (83 s)
25: 50 | 36 (93 s)
26: 43 | 36 (88 s)
27: 46 | 36 (89 s)
28: 41 | 36 (93 s)
29: 50 | 36 (85 s)
30: 38 | 36 (93 s)
31: 52 | 36 (86 s)
32: 43 | 36 (93 s)
33: 55 | 36 (87 s)
34: 52 | 36 (88 s)
35: 43 | 36 (89 s)
36: 51 | 36 (83 s)
37: 53 | 36 (80 s)
38: 40 | 36 (91 s)
39: 49 | 36 (81 s)
40: 51 | 36 (94 s)
41: 47 | 36 (90 s)
42: 37 | 36 (95 s)
43: 44 | 36 (89 s)
44: 51 | 36 (86 s)
45: 46 | 36 (86 s)
46: 52 | 36 (82 s)
47: 47 | 36 (81 s)
48: 50 | 36 (87 s)
49: 43 | 36 (85 s)
50: 50 | 36 (84 s)
51: 48 | 36 (87 s)
52: 47 | 36 (80 s)
53: 44 | 36 (88 s)
54: 54 | 36 (86 s)
55: 41 | 36 (95 s)
56: 45 | 36 (82 s)
57: 53 | 36 (90 s)
58: 45 | 36 (86 s)
59: 45 | 36 (83 s)
60: 56 | 36 (84 s)
61: 49 | 36 (88 s)
62: 54 | 36 (82 s)
63: 48 | 36 (87 s)
64: 55 | 36 (83 s)
65: 50 | 36 (86 s)
66: 58 | 36 (88 s)
67: 52 | 36 (98 s)
68: 54 | 36 (82 s)
69: 43 | 36 (102 s)
70: 54 | 36 (87 s)
71: 50 | 36 (86 s)
72: 51 | 36 (84 s)
73: 52 | 36 (93 s)
74: 40 | 36 (89 s)
75: 43 | 36 (80 s)
76: 50 | 36 (89 s)
77: 46 | 36 (92 s)
78: 50 | 36 (82 s)
79: 34 | 34 (89 s)
80: 39 | 34 (90 s)
81: 47 | 34 (86 s)
82: 47 | 34 (96 s)
83: 47 | 34 (82 s)
84: 42 | 34 (85 s)
85: 43 | 34 (83 s)
86: 38 | 34 (84 s)
87: 49 | 34 (79 s)
88: 51 | 34 (79 s)
89: 45 | 34 (87 s)
90: 60 | 34 (77 s)
91: 52 | 34 (80 s)
92: 43 | 34 (81 s)
93: 43 | 34 (87 s)
94: 49 | 34 (82 s)
95: 50 | 34 (87 s)
96: 51 | 34 (86 s)
97: 48 | 34 (91 s)
98: 50 | 34 (85 s)
99: 44 | 34 (88 s)
100: 52 | 34 (88 s)
101: 48 | 34 (77 s)
102: 52 | 34 (84 s)
103: 49 | 34 (88 s)
104: 49 | 34 (89 s)
105: 53 | 34 (77 s)
106: 57 | 34 (77 s)
107: 51 | 34 (77 s)
108: 46 | 34 (86 s)
109: 49 | 34 (88 s)
110: 54 | 34 (80 s)
111: 49 | 34 (83 s)
112: 48 | 34 (89 s)
113: 42 | 34 (88 s)
114: 52 | 34 (84 s)
115: 43 | 34 (92 s)
116: 54 | 34 (83 s)
117: 51 | 34 (86 s)
118: 52 | 34 (84 s)
119: 50 | 34 (78 s)
120: 49 | 34 (91 s)
121: 53 | 34 (80 s)
122: 51 | 34 (85 s)
123: 47 | 34 (86 s)
124: 42 | 34 (96 s)
125: 46 | 34 (89 s)
126: 41 | 34 (91 s)
127: 53 | 34 (74 s)
128: 42 | 34 (91 s)
129: 55 | 34 (77 s)
130: 53 | 34 (77 s)
131: 48 | 34 (85 s)
132: 58 | 34 (82 s)
133: 47 | 34 (87 s)
134: 53 | 34 (89 s)
135: 44 | 34 (86 s)
136: 49 | 34 (95 s)
137: 52 | 34 (80 s)
138: 41 | 34 (92 s)
139: 43 | 34 (85 s)
140: 45 | 34 (92 s)
141: 54 | 34 (85 s)
142: 40 | 34 (90 s)
143: 51 | 34 (76 s)
144: 52 | 34 (85 s)
145: 46 | 34 (86 s)
146: 36 | 34 (93 s)
147: 40 | 34 (89 s)
148: 51 | 34 (88 s)
149: 44 | 34 (87 s)
150: 44 | 34 (88 s)
151: 51 | 34 (84 s)
152: 42 | 34 (86 s)
153: 55 | 34 (91 s)
154: 46 | 34 (90 s)
155: 44 | 34 (82 s)
156: 41 | 34 (97 s)
157: 50 | 34 (80 s)
158: 42 | 34 (84 s)
159: 44 | 34 (88 s)
160: 50 | 34 (80 s)
161: 56 | 34 (82 s)
162: 49 | 34 (86 s)
163: 45 | 34 (90 s)
164: 48 | 34 (91 s)
165: 43 | 34 (86 s)
166: 47 | 34 (84 s)
167: 37 | 34 (82 s)
168: 47 | 34 (89 s)
169: 46 | 34 (92 s)
170: 55 | 34 (78 s)
171: 38 | 34 (86 s)
172: 47 | 34 (85 s)
173: 42 | 34 (92 s)
174: 48 | 34 (90 s)
175: 39 | 34 (95 s)
176: 52 | 34 (85 s)
177: 48 | 34 (85 s)
178: 48 | 34 (83 s)
179: 49 | 34 (87 s)
180: 48 | 34 (88 s)
181: 55 | 34 (88 s)
182: 46 | 34 (102 s)
183: 39 | 34 (98 s)
184: 50 | 34 (95 s)
185: 46 | 34 (88 s)
186: 45 | 34 (92 s)
187: 47 | 34 (83 s)
188: 38 | 34 (94 s)
189: 51 | 34 (86 s)
190: 43 | 34 (88 s)
191: 43 | 34 (89 s)
192: 44 | 34 (85 s)
193: 47 | 34 (92 s)
194: 40 | 34 (89 s)
195: 40 | 34 (79 s)
196: 42 | 34 (93 s)
197: 42 | 34 (96 s)
198: 52 | 34 (85 s)
199: 38 | 34 (87 s)
200: 47 | 34 (83 s)
201: 47 | 34 (85 s)
202: 48 | 34 (85 s)
203: 43 | 34 (93 s)
204: 47 | 34 (81 s)
205: 49 | 34 (92 s)
206: 49 | 34 (87 s)
207: 46 | 34 (87 s)
208: 43 | 34 (91 s)
209: 35 | 34 (97 s)
210: 48 | 34 (75 s)
211: 39 | 34 (86 s)
212: 37 | 34 (91 s)
213: 47 | 34 (77 s)
214: 46 | 34 (82 s)
215: 47 | 34 (84 s)
216: 39 | 34 (95 s)
217: 44 | 34 (103 s)
218: 54 | 34 (78 s)
219: 40 | 34 (91 s)
220: 50 | 34 (85 s)
221: 45 | 34 (77 s)
222: 48 | 34 (83 s)
223: 54 | 34 (85 s)
224: 48 | 34 (89 s)
225: 49 | 34 (91 s)
226: 41 | 34 (98 s)
227: 40 | 34 (87 s)
228: 40 | 34 (87 s)
229: 50 | 34 (86 s)
230: 52 | 34 (84 s)
231: 49 | 34 (85 s)
232: 55 | 34 (83 s)
233: 45 | 34 (90 s)
234: 43 | 34 (93 s)
235: 49 | 34 (91 s)
236: 47 | 34 (84 s)
237: 44 | 34 (93 s)
238: 48 | 34 (98 s)
239: 40 | 34 (88 s)
240: 50 | 34 (81 s)
241: 55 | 34 (93 s)
242: 53 | 34 (83 s)
243: 51 | 34 (85 s)
244: 52 | 34 (94 s)
245: 62 | 34 (84 s)
246: 46 | 34 (89 s)
247: 52 | 34 (86 s)
248: 43 | 34 (88 s)
249: 51 | 34 (88 s)
250: 55 | 34 (88 s)
251: 33 | 33 (97 s)
252: 59 | 33 (80 s)
253: 47 | 33 (89 s)
254: 54 | 33 (87 s)
255: 51 | 33 (81 s)
256: 47 | 33 (88 s)
257: 44 | 33 (89 s)
258: 41 | 33 (90 s)
259: 58 | 33 (83 s)
260: 50 | 33 (88 s)
261: 39 | 33 (93 s)
262: 44 | 33 (87 s)
263: 44 | 33 (90 s)
264: 49 | 33 (83 s)
265: 50 | 33 (78 s)
266: 46 | 33 (86 s)
267: 45 | 33 (82 s)
268: 43 | 33 (84 s)
269: 46 | 33 (79 s)
270: 50 | 33 (82 s)
